missing_rate,n_missing,n_observed,X0_mean,X0_std,X0_skew,X0_kurtosis,X0_min,X0_max,X0_range,X0_q25,X0_q50,X0_q75,X0_iqr,mask_autocorr_1,runs_z_score,n_runs,avg_burst_size,max_burst_size,n_bursts,missing_pos_mean,missing_pos_std,missing_first_quarter,missing_last_quarter,corr_mask_X1,mi_mask_X1,corr_mask_X2,mi_mask_X2,corr_mask_X3,mi_mask_X3,corr_mask_X4,mi_mask_X4,auc_mask_from_Xobs,coef_X1_abs,coef_X2_abs,coef_X3_abs,coef_X4_abs,coef_max,coef_sum,corr_X1_mask,pval_X1_mask,log_pval_X1_mask,X1_mean_diff,X1_ttest_stat,X1_ttest_pval,X1_mannwhitney_stat,X1_mannwhitney_pval,X0_obs_mean_deviation,X0_obs_skew_mnar,X0_q50_deviation,X0_q75_deviation,X0_obs_rate_high,X0_obs_rate_low,X0_obs_high_low_ratio,X0_obs_position_corr,little_proxy_score,position_entropy,position_uniformity_chi2,llm_mcar_conf,llm_mar_conf,llm_mnar_conf,llm_randomness,llm_dep_X1,llm_dep_self,llm_temporal,llm_extreme
0.039,39,961,0.49056911632658284,0.2892963138286477,0.07169227472439837,-1.2417035452110898,0.0011909008893663,0.999546648142344,0.9983557472529776,0.2363663870516503,0.4745562118875409,0.7369348320775789,0.5005684450259287,-0.013942307692307681,0.44233253951381624,77,1.0263157894736843,2,38,0.47697435897435897,0.3199391358127184,0.3333333333333333,0.2564102564102564,0.01474844765896643,0.006729835185329845,0.018533299556596262,0.009283493733640123,-0.024466840905737565,0.003893172120452354,0.026087358985473,0.0037150866470877933,0.5694922489927694,0.07337567050279202,0.09070630942651003,0.11496274510981815,0.12814013993758092,0.12814013993758092,0.40718486497670114,0.014748447658966438,0.6413379902292495,0.1929130334988614,0.02194350960500535,0.46597092623583414,0.641337990229252,0.5241068331599029,0.609559922385471,0.009430883673417156,0.07169227472439837,0.02544378811245912,0.013065167922421073,0.09781477627471384,0.09573361082206035,0.9787234032547306,0.038254960201382256,0.13568264895007873,3.254800952197871,3.307692307607495,0.33,0.33,0.34,0.5,0.0,0.0,0.0,0.0
0.055,55,945,0.49984235378068725,0.2932069259326051,-0.015498178984044255,-1.2188482452120737,7.148820377278486e-05,0.9991151410616352,0.9990436528578625,0.2556047163921545,0.4989055587838178,0.7520373791156746,0.4964326627235201,0.01870184899845917,-0.5957882489820732,103,1.0784313725490196,2,51,0.5552909090909091,0.24112250170078753,0.10909090909090909,0.2545454545454545,0.06611711703312671,0.00593554447763374,-0.017743010384991403,0.0059999156419551095,-0.004025077586664806,0.002692841257427879,-0.02885177367557178,0.002371971174879502,0.5834343434343434,0.287482661066457,0.06402899195934884,0.0027565743603041584,0.12554471359666444,0.287482661066457,0.4798129409827744,0.06611711703312673,0.036574744579823106,1.436818698092897,0.08434082847887042,2.0932953717465357,0.03657474457982191,0.5846464646464646,0.034629592770027764,0.00015764621931274592,-0.015498178984044255,0.0010944412161821848,-0.002037379115674587,0.10476190476190476,0.11534391534391535,1.1010100999591368,0.008994916418917427,0.11253006253006254,3.1405015825260962,13.181818181578512,0.33,0.33,0.34,0.5,0.0,0.0,0.0,0.0
0.034,34,966,0.4959264933225848,0.2955347772137404,-0.0009808404933309286,-1.2959732943352884,0.0010172039069716,0.9978040381857282,0.9967868342787566,0.22176146905684158,0.4987841695079417,0.7691800754006621,0.5474186063438206,-0.004785126485827491,0.15128032769266744,67,1.0303030303030303,2,33,0.536264705882353,0.2589285966556996,0.14705882352941177,0.20588235294117646,0.01417670017802029,0.0017980707977293675,0.00925602945528205,0.003557915057881435,0.006328147321227484,0.0017980707977293675,0.10719878946997773,0.009416619453651302,0.6740043843624406,0.08658560436612125,0.06692191639068437,0.06791758814461282,0.6118608061727455,0.6118608061727455,0.8332859150741639,0.014176700178020293,0.6543203383762121,0.18420958022543102,0.022231691302342704,0.44790310346026313,0.6543203383762116,0.5233223724272318,0.6437388202031306,0.004073506677415184,-0.0009808404933309286,0.0012158304920583118,-0.019180075400662133,0.09316770186335403,0.10559006211180125,1.133333332116889,0.04298703700613218,0.15797405918889296,3.1187658715577657,9.529411764425607,0.33,0.33,0.34,0.5,0.0,0.0,0.0,0.0
0.044,44,956,0.5138223175372147,0.29426886500347305,-0.015774352278735283,-1.2252493305805878,0.0004294962907489,0.999095289278969,0.99866579298822,0.2570067927498568,0.5188778670600898,0.7715240624200024,0.5145172696701455,-0.046073298429319356,1.4634373826235003,89,1.0,1,44,0.4299090909090909,0.2722905215007925,0.29545454545454547,0.1590909090909091,-0.040119620917258715,0.007665769233497252,0.03520428969507916,0.0020966614727051212,0.021656072168623034,0.0076544538852620116,-0.02542374338450072,0.0024979757558419857,0.5746957017877521,0.19232472809740866,0.17490610366361556,0.10325198855678878,0.11590265189199295,0.19232472809740866,0.586385472209806,-0.04011962091725872,0.20493461652652545,0.6883846765589466,-0.05788062040996683,-1.2684457268922475,0.2049346165265263,0.4443942563712438,0.2118825950152775,-0.013822317537214746,-0.015774352278735283,-0.01887786706008976,-0.021524062420002377,0.12552301255230125,0.09414225941422594,0.7499999994025,0.047572095773882106,0.12483358691517688,3.1864027898112783,6.909090908933884,0.33,0.33,0.34,0.5,0.0,0.0,0.0,0.0
0.044,44,956,0.49173835289824064,0.2909580496925684,0.050017846333199695,-1.244001727914501,0.002080960385732,0.9995059949982692,0.9974250346125372,0.22686679447440916,0.48500365443727705,0.7337652323887418,0.5068984379143326,0.0490242741551642,-1.5601935732101782,81,1.1,2,40,0.4436363636363636,0.2891452207415609,0.2727272727272727,0.13636363636363635,-0.03249978142493239,0.01118953580736641,-0.026866186643768927,0.003976108843704265,0.03889307533629489,0.00383788295483806,0.025574729932403076,0.0041879904894009945,0.5769066184861165,0.1523074265610984,0.13242072670530117,0.193755910314109,0.1178249489452113,0.193755910314109,0.5963090125257199,-0.0324997814249324,0.3045527330135354,0.5163374988472695,-0.044641069135974654,-1.027247731135962,0.30455273301352814,0.4539035755039939,0.30073150984727914,0.008261647101759362,0.050017846333199695,0.014996345562722946,0.016234767611258194,0.10355648535564854,0.09832635983263599,0.9494949485780635,0.007608007783590625,0.14896348421453023,3.225779915512436,6.45454545439876,0.33,0.33,0.34,0.5,0.0,0.0,0.0,0.0
0.017,17,983,0.5129689642571976,0.29155592446566386,-0.05190588005810576,-1.2378305873358122,0.0002314309601809,0.9991623560757134,0.9989309251155325,0.2558894446691179,0.5185845030890405,0.7763915349292126,0.5205020902600948,-0.017311608961303456,0.5549763347495246,35,1.0,1,17,0.47705882352941176,0.32308612411958504,0.35294117647058826,0.23529411764705882,-0.0002631249438788307,0.0035074553087788172,0.011920013252695481,0.0036908001767008286,0.03060295193839543,0.00404090771126373,0.04204884038078281,0.0068543155937928184,0.5999042546825444,0.0069111880406508034,0.08521434444692183,0.2211546149192843,0.31139024495896345,0.31139024495896345,0.6246703923658203,-0.00026312494387883273,0.9933693886884214,0.0028892271961778247,-0.0005759383090392367,-0.00831241670050915,0.9933693886884257,0.4991323080605589,0.9905391472175388,-0.012968964257197624,-0.05190588005810576,-0.01858450308904047,-0.026391534929212646,0.10783316378433368,0.08850457782299084,0.8207547162199982,0.04872382403200556,0.18891747950451795,2.851018723094229,4.894117646770935,0.33,0.33,0.34,0.5,0.0,0.0,0.0,0.0
0.105,105,895,0.5104396287575745,0.28760859309106174,-0.030039001306261966,-1.2036479579986588,0.0014456342378411,0.9995077829615284,0.9980621487236874,0.2611024352989586,0.5189842852407733,0.757526863312924,0.49642442801396536,-0.0003835091083413243,0.008430801200168645,189,1.1170212765957446,3,94,0.5457523809523809,0.27061347521977086,0.18095238095238095,0.3047619047619048,-0.05277181488128251,0.005137954463784008,-0.045061596806141434,0.006848275920941869,-0.011813299240403705,0.0030479347258320945,0.022890232777456852,0.004298852854010535,0.5753232242617717,0.1732825714091938,0.14775120986510784,0.032318156562841614,0.07789558197979647,0.1732825714091938,0.43124751981693965,-0.0527718148812825,0.09534225892016363,1.0207145626571381,-0.05075228383991104,-1.6694479000393811,0.09534225892016099,0.45063048683160417,0.09754317241935706,-0.010439628757574537,-0.030039001306261966,-0.018984285240773335,-0.007526863312923959,0.10614525139664804,0.09162011173184358,0.8631578939236566,0.0224770850415854,0.0995344506517691,3.2576196391000205,8.23809523801678,0.33,0.33,0.34,0.5,0.0,0.0,0.0,0.0
0.052,52,948,0.4975076038807889,0.29506894670681033,0.010777753718811366,-1.2308127799978066,0.0005789661047679,0.9996486713342458,0.9990697052294779,0.24122646526586147,0.4955339794491248,0.7573421176224484,0.516115652356587,0.005949963447323527,-0.19075525168939264,99,1.0612244897959184,2,49,0.4746730769230769,0.27683706129403474,0.28846153846153844,0.17307692307692307,-0.04412316452973891,0.002820746814922878,-0.008277774612413602,0.007174067230844761,-0.04549362522543483,0.004921362642786293,0.017748931078622427,0.003913638655915378,0.5818321973385264,0.20907293820591294,0.023266169523544166,0.21464453972493597,0.08953616550559274,0.21464453972493597,0.5365198129599857,-0.04412316452973892,0.16324789482952393,0.7871524104805526,-0.056884782327280725,-1.3952598245914791,0.1632478948295239,0.4425511197663096,0.16261878167803234,0.0024923961192110933,0.010777753718811366,0.004466020550875194,-0.0073421176224484075,0.10864978902953587,0.10548523206751055,0.9708737855141861,-0.03658773504967418,0.13307367737747483,3.1111616613827167,14.153846153573966,0.33,0.33,0.34,0.5,0.0,0.0,0.0,0.0
0.007,7,993,0.5051330535233413,0.28201331215752184,-0.001586272131463046,-1.1446243664926858,0.0009471941487341,0.9968086652174132,0.9958614710686791,0.2723933414530625,0.494024044070079,0.7510451759416725,0.47865183448861004,-0.0070564516129032265,0.23128190665533818,15,1.0,1,7,0.3497142857142857,0.21905036230166294,0.42857142857142855,0.0,-0.047503224042675915,0.005300075579493095,-0.0017394856056675537,0.005833527981978004,-0.01554983576848889,0.0039036800364967332,-0.037347449843545204,0.0039036800364967332,0.7355776147316933,0.5370270643065461,0.038232766832335,0.1919508568019595,0.4158228741764213,0.5370270643065461,1.183033562117262,-0.047503224042675915,0.13331611759139272,0.8751173422751265,-0.1623679984353214,-1.5023769625233663,0.13331611759139228,0.3331894691411308,0.1300436206798248,-0.005133053523341258,-0.001586272131463046,0.005975955929921006,-0.001045175941672527,0.0986908358509567,0.08862034239677745,0.8979591827635987,0.05739569947418734,0.31463098834700043,1.9502120649147465,7.371428570375512,0.33,0.33,0.34,0.5,0.0,0.0,0.0,0.0
0.067,67,933,0.5027349291038911,0.2894936816947736,-0.01346615343661073,-1.2143453615988864,0.0009235461328285,0.9999650921097328,0.9990415459769043,0.2523015139581973,0.5066915699533725,0.7576600480920055,0.5053585341338083,-0.05589007750944847,1.7712143531493436,133,1.0151515151515151,2,66,0.5478955223880597,0.2667286694644566,0.208955223880597,0.2835820895522388,-0.0415506033210709,0.0021610798205042477,-0.0032604378327933626,0.004160796942091493,-0.02532153799228941,0.003019429722147613,0.013587918790769322,0.0012016539616877472,0.5584617107389099,0.1602851484903316,0.005624278204266986,0.09332090774088397,0.05634616773387425,0.1602851484903316,0.3155765021693568,-0.04155060332107091,0.18922707626028334,0.723016720845979,-0.048428876422248635,-1.313765410193879,0.18922707626028298,0.45265633248548254,0.19504198116073512,-0.0027349291038910595,-0.01346615343661073,-0.0066915699533725,-0.007660048092005489,0.10610932475884244,0.09967845659163987,0.939393938508632,0.022292575612870052,0.09636304010494152,3.19768778486869,10.761194029690131,0.33,0.33,0.34,0.5,0.0,0.0,0.0,0.0
