X0_missing_rate,X0_obs_vs_full_ratio,X0_iqr_ratio,X0_obs_skew_diff,auc_mask_from_Xobs,coef_X1_abs,log_pval_X1_mask,X1_mean_diff,X1_mannwhitney_pval,little_proxy_score,X0_ks_obs_vs_imputed,X0_tail_missing_ratio,mask_entropy,X0_censoring_score,X0_mean_shift_X1_to_X4,mechdetect_auc_complete,mechdetect_auc_shuffled,mechdetect_auc_excluded,mechdetect_delta_complete_shuffled,mechdetect_delta_complete_excluded,mechdetect_mwu_pvalue,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9
0.01,1.0003540061623462,1.0093211694001514,-0.0019005622193162437,0.68,0.3961660393021369,0.7184207625274441,0.12017499753155564,0.19888560590610793,0.2702020202020202,0.005,1.0,0.4852610889143069,0.0,0.07453292050723616,0.5411616161616162,0.4199494949494949,0.5441919191919192,0.12121212121212127,-0.00303030303030305,0.7,0.03707698732614517,-0.055378835648298264,-0.014060292392969131,0.03805539384484291,-0.02579686976969242,-0.04117510840296745,-0.03405440226197243,-0.005681839305907488,0.07504536956548691,-0.0037272691261023283
0.05,1.0036690370084742,1.0413093934857864,-0.035409563302943425,0.5960421052631579,0.19202585169988612,0.6701275055498369,-0.029032523032317403,0.15856584230702675,0.13131578947368422,0.025,1.0,0.9411388425446447,0.0,0.025455603794832818,0.5568007341098801,0.6279527643825169,0.5578851923710825,-0.07115203027263683,-0.0010844582612024034,0.7,0.035916347056627274,-0.05681796371936798,-0.012860194779932499,0.03683924302458763,-0.020260602235794067,-0.03752537816762924,-0.03261679783463478,-0.009240016341209412,0.06938974559307098,0.0004557332140393555
0.056,1.004233894136874,1.0723314210596062,-0.03672851934733046,0.6299371973365618,0.12928120574883997,0.5505064043587826,0.022923957378580273,0.21610883408271664,0.13669037530266342,0.028,1.0,2.485472617152488,0.0,0.03216813424909084,0.6069890066835723,0.5057256256943372,0.5963618845020865,0.10126338098923504,0.01062712218148576,0.1,0.03198124095797539,-0.05902181938290596,-0.011869804933667183,0.03565919026732445,-0.026387903839349747,-0.038392890244722366,-0.03369622677564621,0.00421526376157999,0.07253517210483551,-0.003507744986563921
0.066,0.9997932933866326,1.0783867316779938,0.0022472219760332106,0.5754980208941665,0.15266904618797342,0.6711943604721851,-0.023961053298940715,0.20603728255867437,0.11563169164882225,0.033,1.0,2.9302405029197147,0.0,0.01989959403187011,0.5277571660208316,0.5109951231333868,0.528439227796141,0.01676204288744476,-0.0006820617753094949,1.0,0.033034179359674454,-0.0530872717499733,-0.014850999228656292,0.034723758697509766,-0.016878249123692513,-0.03302207216620445,-0.032104745507240295,-0.0026808695401996374,0.07065921276807785,-0.002559457439929247
0.048,0.9984727238853044,1.0595199094504923,0.010596335565998163,0.5506608893557423,0.06873859357058568,0.17625061110587545,0.018567247091208716,0.6900825559089552,0.12307422969187676,0.024,1.0,2.2525600228572595,0.0,0.02563765338794223,0.39953660992401246,0.46603438783405754,0.399801764445238,-0.06649777791004507,-0.0002651545212255524,0.4,0.0387820340692997,-0.04822266101837158,-0.010432843118906021,0.04245787486433983,-0.023545101284980774,-0.03503839299082756,-0.040452469140291214,-0.0015761720715090632,0.07593055814504623,-0.0072485110722482204
0.018,1.0009918051746909,1.0325976494361477,-0.010058419478363612,0.6055102964471599,0.216179034483381,0.47236435021209267,-0.036733249041784766,0.21050296962174864,0.18870219506675717,0.009,1.0,1.8151966415109073,0.0,0.034213697855440775,0.4850528952537232,0.5312839271359074,0.48132142827544483,-0.04623103188218425,0.003731466978278364,0.7,0.03949723765254021,-0.05306883901357651,-0.01689091883599758,0.023307830095291138,-0.013689875602722168,-0.04151445999741554,-0.02633564919233322,-0.006244897376745939,0.0678194984793663,-0.006274374667555094
0.036,1.0000260788871524,1.0269962840184745,-0.0022031175019934512,0.5709716459197787,0.2841392098280827,1.0707776121825665,-0.04475349996987421,0.13219787691681625,0.12200322729368372,0.018,1.0,2.629476812380916,0.0,0.015807416288736928,0.5090853827647813,0.4776078249259883,0.5148826992081766,0.031477557838793024,-0.005797316443395317,0.7,0.038564346730709076,-0.042951639741659164,-0.021012673154473305,0.030601659789681435,-0.018401965498924255,-0.035783689469099045,-0.039665140211582184,-0.01142799947410822,0.0684741884469986,-0.0004886483075097203
0.077,0.9998050243823702,1.081388551030222,0.0023597935553454352,0.5502384939004656,0.025831305927861932,0.05427229123233837,0.004911701130475232,0.8746855023068782,0.08592815635069156,0.03845828819068256,1.0,2.792432862925666,0.0,0.015370021171229944,0.46109131368089024,0.5623818038638886,0.47150203759324283,-0.10129049018299835,-0.010410723912352593,0.1,0.03137439489364624,-0.05029859021306038,-0.012843496166169643,0.02801397815346718,-0.015567271038889885,-0.046248532831668854,-0.021246103569865227,-0.002295346464961767,0.06036055460572243,0.00041796397999860346
0.02,1.0057390506828725,1.024421283880067,-0.02770368466077011,0.633061224489796,0.28695729179096546,0.6376385627124764,-0.07067768368822941,0.24563881889695482,0.18341836734693878,0.01,1.0,1.5243012156592064,0.0,0.05104967840564203,0.5951374389771418,0.49396628253497726,0.5743367333112366,0.10117115644216451,0.020800705665905195,0.7,0.044375672936439514,-0.0531037375330925,-0.004381073173135519,0.030238701030611992,-0.01212040800601244,-0.05134650692343712,-0.041554681956768036,0.0029957799706608057,0.05832775682210922,0.003178972052410245
0.02,0.9998890340779084,1.0290808598128043,0.0006662364229447354,0.5601530612244898,0.13925997554751315,0.3035572369933342,0.022726389992545337,0.4648742700049593,0.14260204081632655,0.01,1.0,1.6621906494753305,0.0,0.020956424842968696,0.4982596592041067,0.41388484625947336,0.49877202339632687,0.08437481294463334,-0.0005123641922201716,0.4,0.04207397252321243,-0.05510696768760681,-0.002842971356585622,0.0346633680164814,-0.017498120665550232,-0.04965498298406601,-0.035705339163541794,-0.00037056245491839945,0.061844032257795334,0.0019707174506038427
0.096,0.9993126909524277,1.095548789031146,0.007502945089277645,0.5666827986725663,0.11447754933971761,0.5320434524806059,-0.01714842842766079,0.24402322614867955,0.11859328908554571,0.048,1.0,2.768187387322051,0.0,0.020375674974771205,0.5530479710750771,0.5258938426363923,0.5556424546947996,0.02715412843868481,-0.0025944836197224763,0.7,0.030492011457681656,-0.05834532529115677,-0.009521112777292728,0.034999895840883255,-0.013057044707238674,-0.04199742153286934,-0.03468941152095795,0.00023468208382837474,0.0657956674695015,-0.010516634210944176
0.04,1.0007424545529076,1.0334525651973032,-0.004529987064216652,0.588671875,0.07619718487077193,0.2013974773856372,0.02230869638349353,0.6247179117772674,0.12473958333333333,0.02,1.0,2.3612285750107445,0.0,0.0383074576639372,0.4809638278388278,0.5041094322344323,0.47897206959706956,-0.02314560439560448,0.0019917582417582347,1.0,0.052576951682567596,-0.03633425384759903,-0.011971807107329369,0.027893902733922005,-0.03138105943799019,-0.030223602429032326,-0.041920002549886703,-0.006424969993531704,0.06105345860123634,-0.006306061055511236
0.04,1.0120912501789738,1.0479829089912807,-0.055679175389043545,0.5456770833333333,0.05601271405490378,0.1542983373908516,0.01597974832770005,0.9012824631835704,0.12604166666666666,0.02,1.0,2.24482790019535,0.0,0.013708850691767333,0.49490041208791213,0.43558836996336997,0.4326694139194139,0.059312042124542164,0.06223099816849825,0.7,0.05550067871809006,-0.04121103882789612,-0.01484740525484085,0.02748660184442997,-0.03385002166032791,-0.027846964076161385,-0.04738299921154976,-0.005570198409259319,0.0660080760717392,-0.007692025043070316
0.06,0.9990600414113163,1.0645948091142252,0.006973626421819472,0.5581737588652482,0.15023827054333833,0.5935386129377749,0.04384411975192598,0.24447134017982775,0.11595744680851064,0.03,1.0,2.288593437381883,0.0,0.022884220496984284,0.4804043466758918,0.4625496021651981,0.48098956743520344,0.017854744510693743,-0.000585220759311611,0.4,0.04090588912367821,-0.05106034874916077,-0.019496280699968338,0.032011955976486206,-0.017077695578336716,-0.030136199668049812,-0.0354553647339344,-0.005158186890184879,0.07532640546560287,-0.00400356063619256
0.03,0.9994925269229413,1.0301213460935976,0.006928091438666836,0.5549484536082474,0.0008487602230582311,0.0055181249146360545,0.00045201680645168274,0.9067523743178074,0.11958762886597937,0.015,1.0,1.7518882098707134,0.0,0.008841508885392424,0.42106314260597033,0.5183146682974684,0.41745085298576873,-0.09725152569149809,0.003612289620201603,0.2,0.035215381532907486,-0.0500299446284771,-0.017068713903427124,0.029514767229557037,-0.023012951016426086,-0.04476255550980568,-0.03606365621089935,-0.011639236472547054,0.07190364599227905,-0.0003181734646204859
0.08,1.0053586673717394,1.09916717516719,-0.05262768729078626,0.6027173913043478,0.22881732445043915,1.1461965882279312,-0.03399063643328448,0.06634160807255725,0.11970108695652174,0.04,1.0,1.3141486383274381,0.0,0.025400784094758003,0.5663134714286844,0.4291407259976519,0.5528669737685229,0.13717274543103247,0.013446497660161483,0.1,0.03364045172929764,-0.05613769590854645,-0.015993330627679825,0.037449270486831665,-0.02776683121919632,-0.03622634708881378,-0.034616418182849884,0.0012227409752085805,0.07136242836713791,-0.0030828434973955154
0.036,1.012085298392909,1.0508270809308409,-0.051586181530157704,0.5933609958506223,0.14854737004502055,0.40582309502704095,-0.038341102458630205,0.10710745396844587,0.15851198709082526,0.018,1.0,2.4559789076359873,0.0,0.03175024607285637,0.5617734542460263,0.5243894704479832,0.5221763747261513,0.037383983798043086,0.03959707951987501,0.4,0.03377894312143326,-0.053063105791807175,-0.02005768194794655,0.02974805049598217,-0.021292563527822495,-0.037047743797302246,-0.03838120028376579,-0.007889056578278542,0.07173550128936768,-0.004422175697982311
0.077,0.9991267707547612,1.0913907020489984,0.006802843534375477,0.6244600469952583,0.2628502437631038,1.5979252775767785,-0.07663984025008247,0.02358689179425455,0.16691758945280072,0.03845828819068256,1.0,3.017279508469838,0.0,0.06273829206405514,0.6110880216417676,0.48563246200054017,0.6107222039632463,0.1254555596412274,0.0003658176785212852,0.1,0.03326321020722389,-0.05081851780414581,-0.007473947945982218,0.04849105700850487,-0.017652753740549088,-0.03096921555697918,-0.035040367394685745,-0.006752659101039171,0.06759609282016754,-0.0020980550907552242
0.06,1.0004242737354614,1.1010271551415116,-0.007070778602300515,0.5584929078014185,0.11976883119188651,0.4564406935505409,0.018668385722937497,0.33054601034538944,0.08927304964539007,0.03,1.0,3.2739802967360037,0.0,0.016629253197973162,0.5118555110125286,0.5263030531192555,0.5133949587242154,-0.01444754210672694,-0.0015394477116867922,1.0,0.037653859704732895,-0.0544719398021698,-0.013670755550265312,0.03321759030222893,-0.025484152138233185,-0.033681996166706085,-0.030111562460660934,-0.005175950471311808,0.06809984147548676,-0.0012793289497494698
0.095,1.0091775775045788,1.1412601179236666,-0.07970313291399989,0.5433091014829893,0.10851484755816862,0.5191902684675002,-0.01812105687673482,0.4831367289114158,0.07987787147426578,0.047447513812154694,1.0,3.9756683526345578,0.0,0.01093843354439493,0.5049983892023148,0.4822004379110388,0.47527025589178756,0.022797951291275986,0.029728133310527205,0.7,0.03719782084226608,-0.050531551241874695,-0.014458999037742615,0.025892945006489754,-0.022952960804104805,-0.03435223549604416,-0.03602411225438118,-0.006460067816078663,0.06310398131608963,-0.01053778175264597
0.09,0.9995310980332841,1.1516986011556394,0.0061502060585507945,0.5392673992673993,0.05990702468049702,0.2255405305592533,0.008624494192167487,0.45367695187971047,0.08540903540903541,0.045,1.0,2.045387632376588,0.0,0.009016671425116862,0.5147119207534789,0.5492763640399129,0.5183749734622586,-0.03456444328643393,-0.003663052708779646,0.7,0.04067124426364899,-0.04860394075512886,-0.014131514355540276,0.030833370983600616,-0.016284160315990448,-0.0332515686750412,-0.04127594083547592,0.005044340621680021,0.06419487297534943,-0.007847915403544903
0.08,1.0198311756880032,1.1239794809439905,-0.10561907091900835,0.5834510869565218,0.11838901417731638,0.5156391399950491,0.030502927108002398,0.16899395593974564,0.11222826086956522,0.04,1.0,3.5007383961046656,0.0,0.04009735508412484,0.5854396975620709,0.5549421160897746,0.5479384008192564,0.03049758147229631,0.03750129674281455,0.4,0.0399063341319561,-0.04624614864587784,-0.01055820845067501,0.03747418522834778,-0.02679506689310074,-0.031509678810834885,-0.0466565378010273,0.008589967153966427,0.06832216680049896,-0.007171527482569218
0.076,1.0221302238665266,1.0797425257819675,-0.10277703143387673,0.5397727272727273,0.004140020521054504,0.018201530712583232,-0.0016060399662055636,0.6919307745859281,0.1007347915242652,0.038,1.0,3.8151877146302287,0.0,0.01597898760461894,0.533073593073593,0.5259657009657009,0.4744372294372295,0.007107892107892089,0.05863636363636354,0.7,0.033415134996175766,-0.053506314754486084,-0.005700492300093174,0.04250616207718849,-0.017456980422139168,-0.03715572878718376,-0.032494351267814636,-0.0008687700028531253,0.06142272427678108,-0.0011482960544526577
0.01,1.0001359834257837,1.0143492633486535,-0.0005751921630304802,0.6117171717171718,0.0012113019908915686,0.013093444021815281,0.0033028505512870954,0.9425405526986429,0.2047979797979798,0.005,1.0,0.7894608072127152,0.0,0.042832378564212376,0.1451178451178451,0.5351851851851852,0.14469696969696966,-0.3900673400673401,0.00042087542087543284,0.1,0.03666021302342415,-0.04151914641261101,-0.015488531440496445,0.03564174100756645,-0.023034611716866493,-0.04135432094335556,-0.04024581238627434,-0.004075566306710243,0.07171909511089325,-0.0033537440467625856
0.09,0.9971239560386453,1.0823212453838313,0.021582932121112314,0.5504761904761905,0.09130522659919849,0.362988995150392,-0.024968282023045296,0.41940582351150024,0.07454212454212454,0.045,1.0,3.7382919250626174,0.0,0.02315963526556368,0.53614102638334,0.525458137919055,0.5337593847104009,0.010682888464285,0.0023816416729391943,1.0,0.029209893196821213,-0.05372953042387962,-0.011687207035720348,0.026380494236946106,-0.009216760285198689,-0.038285259157419205,-0.026640409603714943,-0.0006083211628720164,0.0610610693693161,-0.011654732748866081
0.01,1.0027546482254583,1.0196523242246949,-0.012894981156010177,0.6850505050505051,0.13115676654065986,0.1440585232156909,-0.030706399971309584,0.5750198987638113,0.27601010101010104,0.005,1.0,1.6208427765399323,0.0,0.06027047527331198,0.6067340067340067,0.49579124579124584,0.5896464646464646,0.11094276094276084,0.01708754208754204,0.4,0.036424629390239716,-0.05328706279397011,-0.010488251224160194,0.03931676968932152,-0.019887810572981834,-0.041783612221479416,-0.03319328650832176,-0.007582227699458599,0.061098113656044006,-0.005486700218170881
0.041,1.0037409651295648,1.0488900023850913,-0.032810741452290015,0.618988275388489,0.3287147708970803,1.2823867382454301,-0.04844468539128485,0.01623481510133808,0.16299371804979781,0.020478623566214806,1.0,3.0064888526547473,0.0,0.0282462559479573,0.595517790399256,0.5027285035366932,0.5867218090817229,0.09278928686256283,0.00879598131753312,0.1,0.04315883666276932,-0.046287596225738525,-0.008297148160636425,0.02863468788564205,-0.020743628963828087,-0.03929650038480759,-0.02861463837325573,-0.0091817332431674,0.06626962870359421,-0.0032595416996628046
0.02,1.00146007420605,1.026552031086664,-0.012995077214639883,0.5731632653061225,0.05224370835736559,0.11251012805014939,-0.011023310644790285,0.6291467618584528,0.15612244897959185,0.01,1.0,1.6308147041478374,0.0,0.015647132636230715,0.3697789403873717,0.5259563610438828,0.3540799883739041,-0.15617742065651108,0.015698952013467604,0.7,0.03607398271560669,-0.057377543300390244,-0.011474034748971462,0.03557880222797394,-0.018672876060009003,-0.04715942591428757,-0.04540703073143959,-0.0034468674566596746,0.07327800989151001,-0.0054939668625593185
