X0	X1	X2	X3	X4
0.042696629213483155	0.23076923076923078	0.5227272727272727	0.21153846153846154	0.08857509627727857
	0.0	0.056818181818181816	0.5256410256410257	0.04236200256739409
	0.23076923076923078	0.6818181818181818	0.8568376068376068	0.13222079589216945
0.0	0.15384615384615385	0.5227272727272727	0.202991452991453	0.1399229781771502
	0.23076923076923078	0.5568181818181818	0.1794871794871795	0.06290115532734275
0.01573033707865169	0.3076923076923077	0.6590909090909091	0.1111111111111111	0.06033376123234917
0.033707865168539325	0.15384615384615385	0.75	0.16666666666666666	0.13478818998716302
0.02247191011235955	0.23076923076923078	0.25	0.8290598290598291	0.07573812580231065
0.02921348314606741	0.38461538461538464	0.5681818181818182	0.24786324786324787	0.15019255455712452
0.026966292134831465	0.3076923076923077	0.5795454545454546	0.10256410256410256	0.27086007702182285
	0.07692307692307693	0.5454545454545454	1.0	0.13735558408215662
0.03820224719101124	0.15384615384615385	0.6931818181818182	0.7649572649572649	0.15019255455712452
0.0741573033707865	0.15384615384615385	0.75	0.3974358974358974	0.1810012836970475
0.020224719101123594	0.15384615384615385	0.75	0.1623931623931624	0.21694480102695765
0.08764044943820226	0.23076923076923078	0.75	0.28846153846153844	0.22721437740693196
0.05393258426966293	0.23076923076923078	0.4318181818181818	0.11538461538461539	0.4120667522464698
0.03595505617977527	0.15384615384615385	0.5113636363636364	0.16452991452991453	0.11424903722721438
0.026966292134831465	0.23076923076923078	0.5113636363636364	0.19658119658119658	0.21951219512195122
0.04044943820224719	0.38461538461538464	0.6590909090909091	0.5149572649572649	0.06546854942233633
	0.07692307692307693	0.6818181818181818	0.16666666666666666	0.07573812580231065
0.06067415730337079	0.23076923076923078	0.6704545454545454	0.32264957264957267	0.3761232349165597
	0.3076923076923077	0.6590909090909091	0.18376068376068377	0.4582798459563543
0.02921348314606741	0.23076923076923078	0.5227272727272727	0.15598290598290598	0.4146341463414634
	0.15384615384615385	0.2159090909090909	0.3952991452991453	0.14249037227214378
0.033707865168539325	0.38461538461538464	0.45454545454545453	0.18162393162393162	0.1245186136071887
0.06067415730337079	0.07692307692307693	0.6704545454545454	0.18376068376068377	0.18870346598202825
0.020224719101123594	0.23076923076923078	0.8295454545454546	0.2863247863247863	0.1116816431322208
0.033707865168539325	0.15384615384615385	0.7613636363636364	0.5170940170940171	0.21951219512195122
0.04943820224719102	0.15384615384615385	0.8295454545454546	0.21581196581196582	0.07573812580231065
	0.15384615384615385	0.75	0.18162393162393162	0.06803594351732992
0.05393258426966293	0.15384615384615385	0.8181818181818182	0.1517094017094017	0.3940949935815148
0.047191011235955045	0.3076923076923077	0.8068181818181818	0.18162393162393162	0.08087291399229782
0.05393258426966293	0.3076923076923077	0.6704545454545454	0.29273504273504275	0.0962772785622593
0.02247191011235955	0.38461538461538464	0.6590909090909091	0.25213675213675213	0.13735558408215662
	0.15384615384615385	0.7727272727272727	0.31837606837606836	0.3889602053915276
0.05393258426966293	0.3076923076923077	0.7159090909090909	0.5299145299145299	0.0962772785622593
0.031460674157303366	0.15384615384615385	0.8409090909090909	0.14957264957264957	0.07060333761232349
0.04943820224719102	0.23076923076923078	0.7954545454545454	0.24572649572649571	0.16302952503209242
0.07640449438202249	0.23076923076923078	0.7613636363636364	0.16666666666666666	0.2605905006418485
0.03820224719101124	0.23076923076923078	0.9090909090909091	0.25213675213675213	0.17586649550706032
0.05393258426966293	0.3076923076923077	0.5	0.16452991452991453	0.20154043645699615
0.02921348314606741	0.15384615384615385	0.48863636363636365	0.47863247863247865	0.04749679075738126
