X0_missing_rate,X0_obs_vs_full_ratio,X0_iqr_ratio,X0_obs_skew_diff,coef_X1_abs,auc_mask_from_Xobs,log_pval_X1_mask,X1_mean_diff,X1_mannwhitney_pval,little_proxy_score,X0_ks_obs_vs_imputed,X0_tail_missing_ratio,mask_entropy,X0_censoring_score,X0_mean_shift_X1_to_X4,mechdetect_auc_complete,mechdetect_auc_shuffled,mechdetect_auc_excluded,mechdetect_delta_complete_shuffled,mechdetect_delta_complete_excluded,mechdetect_mwu_pvalue,caafe_missing_rate_by_quantile,caafe_tail_asymmetry,caafe_kurtosis_excess,caafe_cond_entropy_X0_mask,llm_ctx_domain_prior,llm_ctx_domain_confidence,llm_ctx_stats_consistency,llm_ctx_surprise,llm_ctx_confidence_delta,llm_ctx_counter_strength,llm_ctx_cause_type,llm_ctx_n_causes,llm_ctx_stats_agreement
0.08,1.0126260279042563,1.3085501858736064,-0.09641810749721358,0.13933915535250702,0.4560334528076464,0.10015408246945498,0.014273444160272875,0.4639379547753324,0.33016304347826086,0.04,1.0,3.0323581701669378,0.0,0.032943845171109015,0.4401433691756272,0.4773596176821983,0.4470728793309439,-0.037216248506571126,-0.0069295101553167315,1.0,20.0,0.0,1.6200205938956076,0.20522223011389848,0.5,0.85,0.3,0.7,0.05,0.95,0.5,1.0,0.3
0.1,1.0116644271095052,1.0,-0.11941431918665302,0.37026262763636975,0.38611111111111107,0.7071875823938846,0.06884531590413934,0.09415278956083074,0.2722222222222222,0.05,1.0,3.199090036808817,0.0,0.038321493512768826,0.4231481481481481,0.3321288117995107,0.3861111111111111,0.0910193363486374,0.03703703703703698,0.7,20.0,0.0,2.2267945279120394,0.21691689346834397,0.5,0.8,0.8,0.2,0.05,0.6,0.5,1.0,0.8
0.05,1.0033737677482868,1.0267379679144384,-0.027462465395021562,0.11422154924863584,0.4383400537634408,0.046385822218805745,0.009081527347781337,0.6573239659686064,0.4842105263157894,0.024736842105263158,1.0,2.616396050877637,0.003975752513340567,0.0391501662118324,0.4537970430107527,0.0,0.4383400537634408,0.0,0.01545698924731187,0.0,20.0,0.0,-0.18637574871679563,0.24764181590255965,1.0,0.8,0.9,0.7,0.05,0.85,0.5,1.0,0.3
0.08,1.0035758436026163,1.12,-0.05781462859342412,0.3255954143674108,0.716726403823178,1.1787611945227094,0.09824616368286454,0.05700977702185636,0.4701086956521739,0.04,1.0,3.2241155458099535,0.0,0.10237626177580793,0.7132616487455197,0.5259856630824372,0.716726403823178,0.18727598566308246,-0.0034647550776583103,0.7,20.0,0.0,1.557115626935098,0.21140927962788764,0.5,0.85,0.9,0.1,0.2,0.6,0.5,0.8,0.9
0.16,1.0075836396212021,1.297202797202797,-0.08674580778900504,0.49310613813871046,0.5654761904761905,1.4499996155217345,0.09138655462184886,0.032999271111917645,0.25,0.07809523809523809,1.0,4.169855281284064,0.015183153543369816,0.04230920770673638,0.525,0.5869963369963369,0.5654761904761905,-0.06199633699633689,-0.04047619047619044,1.0,20.0,0.0,0.005655772757529043,0.26171678763195033,0.5,0.85,0.9,0.1,0.05,0.3,0.5,0.8,0.9
0.13,1.0221598203513111,1.0841121495327102,-0.14466589833335886,0.4771630480887273,0.6120689655172414,1.017369940484827,0.07269504689585826,0.0343753659638025,0.3194076038903625,0.06425287356321839,1.0,3.8822670307292886,0.006708650382235056,0.039349026433905365,0.6264367816091954,0.6543079906539306,0.6149425287356322,-0.02787120904473528,0.011494252873563204,1.0,20.0,0.058823529411764705,-0.12204860566105014,0.2911657513742897,0.5,0.85,0.8,0.2,0.1,0.85,0.5,1.0,0.8
0.12,1.0037952282916738,1.237068965517242,-0.09037870400103509,0.5909890659222826,0.5689655172413793,1.4606435256605488,0.10854226084373153,0.051977965167171056,0.23390151515151517,0.06,1.0,3.5102859652779164,0.0,0.04421587262546113,0.5601532567049808,0.2946998722860792,0.5801724137931035,0.26545338441890165,-0.02001915708812263,0.1,20.0,0.0,2.5056802634470863,0.2005115179618238,0.5,0.85,0.9,0.1,0.0,0.2,0.5,0.8,0.9
0.12,1.0125040075083356,1.3437499999999993,-0.13043004294638982,0.34092002612752276,0.6067049808429119,0.5150616939028688,0.04827688651218054,0.24912841801007535,0.24147727272727273,0.06,1.0,3.8338307051077747,0.0,0.030455422175820812,0.5954022988505746,0.5157491663119057,0.6067049808429119,0.0796531325386689,-0.011302681992337305,1.0,20.0,0.058823529411764705,2.3956133848152605,0.2273587910271512,0.5,0.8,0.3,0.7,0.15,0.95,0.5,1.0,0.3
0.13,1.0131448101815872,1.2607260726072604,-0.13967930440039966,0.2210567513342385,0.6436781609195402,0.2694993695050282,0.028365024878209466,0.2972933986972065,0.3003978779840849,0.06425287356321839,1.0,3.272649798811086,0.006708892867956524,0.046031820024427295,0.6298850574712643,0.4162151067323481,0.6494252873563219,0.21366995073891626,-0.019540229885057547,0.1,20.0,0.0,0.8802839155249464,0.22158658454415991,1.0,0.85,0.2,0.8,0.0,0.9,0.5,1.0,0.2
0.12,1.0146082154064437,1.1127167630057802,-0.12242947804344873,0.8712652690679029,0.7967432950191572,3.271285846798123,0.1809139928698753,0.0004191847105336367,0.39015151515151514,0.05863636363636364,1.0,3.321971937144146,0.0,0.09719602813272854,0.8227011494252873,0.48820087448559674,0.799616858237548,0.33450027493969053,0.023084291187739248,0.1,20.0,0.0,0.6324749187057104,0.26437044126979425,0.5,0.9,0.9,0.1,0.25,0.75,0.5,1.0,0.9
0.12,1.0042315306843783,1.3000000000000003,-0.08401102357972623,0.1553557440296888,0.6831417624521072,0.4077917673272044,0.03727168746286391,0.1546070105993679,0.3522727272727273,0.06,1.0,3.6052201662494134,0.0,0.03598466083766796,0.6630268199233716,0.6265325670498084,0.6802681992337165,0.03649425287356323,-0.017241379310344862,1.0,20.0,0.06666666666666667,0.9197660369634502,0.2490564267978769,0.5,0.8,0.2,0.8,0.1,0.95,0.5,1.0,0.2
0.11,1.0101224580728536,1.3380782918149465,-0.09687379457320355,0.34910505424065164,0.4444763729246488,0.4314066847349879,0.049453844459132035,0.19124282942040371,0.3033707865168539,0.05438202247191011,1.0,3.4427248473605174,0.0,0.049219191027650044,0.41918901660280966,0.4327688834154351,0.4481800766283525,-0.013579866812625463,-0.02899106002554286,1.0,20.0,0.0,0.05002571994437233,0.2697733292097824,0.5,0.8,0.9,0.1,0.05,0.4,0.5,1.0,0.9
0.14,1.0184801280756306,1.3040540540540537,-0.14549744155577027,0.6496473395907787,0.6697044334975368,1.7057573585907753,0.1081133802358154,0.00926010375292979,0.2823920265780731,0.07,1.0,3.907955588707718,0.0,0.04305362037710375,0.6228243021346469,0.44584336686672615,0.6697044334975368,0.17698093526792075,-0.04688013136288993,0.1,20.0,0.0,0.6854615140267746,0.2678928603231293,0.5,0.85,0.85,0.15,0.1,0.85,0.5,0.8,0.85
0.11,1.0006595026988458,1.088825214899714,-0.05509518236164401,0.03675767684946781,0.4314176245210728,0.12737852134064243,0.014624386629013109,0.5924733688332963,0.27987742594484166,0.05438202247191011,1.0,3.5158127174294957,0.012200857606793278,0.022943753910094192,0.3935504469987228,0.4774278887182113,0.4314176245210728,-0.08387744171948847,-0.03786717752234997,0.4,20.0,0.06666666666666667,2.3420135108961952,0.2697733292097824,0.0,0.75,0.3,0.7,0.1,0.85,0.0,1.0,0.3
0.08,1.0038731868199604,1.215447154471545,-0.05321822562943668,0.2991159615301472,0.16786140979689368,0.4320304600003655,0.0552003410059676,0.4491038342019107,0.27445652173913043,0.04,1.0,2.984565672038981,0.0,0.024802788700700504,0.1810035842293907,0.20683559735283874,0.16786140979689368,-0.025832013123448044,0.013142174432497017,1.0,20.0,0.1111111111111111,0.7420664137419659,0.2664067193691003,0.5,0.85,0.75,0.1,0.1,0.4,0.5,0.6,0.75
0.1,1.0111286924351224,1.1809290953545233,-0.08509347958827751,0.6515315515863243,0.725,1.7039812617214463,0.13006535947712417,0.010985608691102624,0.35277777777777775,0.05,1.0,3.2740085502416547,0.0,0.07442062475955245,0.674074074074074,0.6102347883597884,0.7212962962962962,0.06383928571428565,-0.047222222222222165,0.7,20.0,0.0,0.0065146012755668,0.2745779676034576,0.5,0.85,0.9,0.1,0.2,0.8,0.5,0.8,0.9
0.07,1.0043743151528914,1.0833333333333335,-0.06220935989901455,0.6842678209602259,0.525089605734767,1.7225946362539477,0.13345983554712204,0.019611602180770633,0.32642089093702,0.03462365591397849,1.0,3.0541264781185467,0.0,0.07996828166669089,0.5627240143369175,0.48934438470728797,0.510752688172043,0.07337962962962957,0.05197132616487454,0.7,20.0,0.0,1.450264165065402,0.20770450122013845,0.5,0.85,0.9,0.1,0.1,0.4,0.5,0.8,0.9
0.1,1.0062398405956687,1.2119565217391304,-0.059643444977589444,0.3863335303124933,0.3527777777777778,0.870174184843084,0.08636448801742924,0.2074947430477192,0.25277777777777777,0.05,1.0,2.8197180807313207,0.0,0.04683723190349412,0.3481481481481481,0.24957010582010578,0.35555555555555557,0.09857804232804232,-0.007407407407407474,0.4,20.0,0.058823529411764705,-0.4203993173361802,0.2993480947871813,0.5,0.8,0.8,0.2,0.05,0.85,0.5,1.0,0.8
0.08,1.0110880645326787,1.1464285714285716,-0.09143474620628567,0.517035194255078,0.6212664277180406,0.6606676378886314,0.07373635976129589,0.21227033306889787,0.26358695652173914,0.0391304347826087,1.0,3.036855672747816,0.0,0.04867223081565045,0.5512544802867383,0.3683393070489845,0.6212664277180406,0.1829151732377538,-0.07001194743130235,0.1,20.0,0.1111111111111111,0.7014939716547381,0.2308157595706837,1.0,0.85,0.85,0.15,0.05,0.4,1.0,0.8,0.85
0.11,1.0193446791150558,1.2108843537414966,-0.1412507858245352,0.4310434428699859,0.36516602809706256,0.619737923857177,0.07258669310420807,0.2147037087568816,0.22318692543411645,0.05314606741573034,1.0,3.8061200548400995,0.030559801116170657,0.03488004799684294,0.4095466155810983,0.6007296466973885,0.36803959131545333,-0.1911830311162902,0.041507024265644954,0.1,20.0,0.058823529411764705,1.5871816537558407,0.24695764496101508,1.0,0.85,0.9,0.0,0.1,0.65,1.0,0.8,0.9
0.08,1.0033107015625877,1.0744985673352436,-0.04661302967443692,0.17648901626240537,0.36738351254480284,0.1559334222075489,0.022798593350383478,0.5754003590412888,0.3016304347826087,0.0391304347826087,1.0,2.8422287168012286,0.015351551792966305,0.03742370429304441,0.34038231780167266,0.4449504078605859,0.36738351254480284,-0.10456809005891321,-0.027001194743130175,0.4,20.0,0.0,0.46272476721887124,0.237588487550914,0.5,0.8,0.1,0.8,0.1,0.95,0.5,1.0,0.1
0.14,1.0172206893661841,1.1710526315789467,-0.14264011017946399,0.7773920694311596,0.6482758620689655,2.0709113455588777,0.1271675135170346,0.0051747726043151416,0.2861295681063123,0.06837209302325581,1.0,3.876112118257374,0.0070077446137181915,0.048016531104328575,0.6321018062397373,0.6146445295870584,0.6389983579638753,0.017457276652678932,-0.006896551724137945,1.0,20.0,0.06666666666666667,0.5478431743050551,0.2678928603231293,0.5,0.85,0.9,0.1,0.05,0.4,0.5,0.8,0.9
