sample_idx,y_true,modelo,pred_baseline,conf_baseline,pred_llm,pred_ensemble,switched_to_llm,group
37,0,RandomForest,0,0.83,0,0,False,MCAR_breastcancer_barenuclei
38,0,RandomForest,0,0.7175,0,0,False,MCAR_breastcancer_barenuclei
39,0,RandomForest,0,0.7125,0,0,False,MCAR_breastcancer_barenuclei
40,0,RandomForest,0,0.7225,0,0,False,MCAR_breastcancer_barenuclei
41,0,RandomForest,0,0.77,0,0,False,MCAR_breastcancer_barenuclei
42,0,RandomForest,0,0.6875,0,0,False,MCAR_breastcancer_barenuclei
43,0,RandomForest,0,0.7575,0,0,False,MCAR_breastcancer_barenuclei
44,0,RandomForest,0,0.7875,0,0,False,MCAR_breastcancer_barenuclei
45,0,RandomForest,0,0.8175,0,0,False,MCAR_breastcancer_barenuclei
46,0,RandomForest,0,0.7525,0,0,False,MCAR_breastcancer_barenuclei
47,0,RandomForest,0,0.825,0,0,False,MCAR_breastcancer_barenuclei
48,0,RandomForest,0,0.755,0,0,False,MCAR_breastcancer_barenuclei
49,0,RandomForest,0,0.69,0,0,False,MCAR_breastcancer_barenuclei
50,0,RandomForest,0,0.905,0,0,False,MCAR_breastcancer_barenuclei
51,0,RandomForest,0,0.815,0,0,False,MCAR_breastcancer_barenuclei
52,0,RandomForest,0,0.8125,0,0,False,MCAR_breastcancer_barenuclei
53,0,RandomForest,0,0.8875,0,0,False,MCAR_breastcancer_barenuclei
54,0,RandomForest,0,0.81,0,0,False,MCAR_breastcancer_barenuclei
55,0,RandomForest,0,0.625,0,0,False,MCAR_breastcancer_barenuclei
56,0,RandomForest,0,0.8075,0,0,False,MCAR_breastcancer_barenuclei
57,0,RandomForest,0,0.8725,0,0,False,MCAR_breastcancer_barenuclei
58,0,RandomForest,0,0.8225,0,0,False,MCAR_breastcancer_barenuclei
59,0,RandomForest,0,0.9125,0,0,False,MCAR_breastcancer_barenuclei
60,0,RandomForest,0,0.735,0,0,False,MCAR_breastcancer_barenuclei
61,0,RandomForest,0,0.875,0,0,False,MCAR_breastcancer_barenuclei
62,0,RandomForest,0,0.7925,0,0,False,MCAR_breastcancer_barenuclei
63,0,RandomForest,0,0.835,0,0,False,MCAR_breastcancer_barenuclei
64,0,RandomForest,0,0.82,0,0,False,MCAR_breastcancer_barenuclei
65,0,RandomForest,0,0.8475,0,0,False,MCAR_breastcancer_barenuclei
66,0,RandomForest,0,0.6825,0,0,False,MCAR_breastcancer_barenuclei
67,0,RandomForest,0,0.8975,0,0,False,MCAR_breastcancer_barenuclei
68,0,RandomForest,0,0.75,0,0,False,MCAR_breastcancer_barenuclei
69,0,RandomForest,0,0.81,0,0,False,MCAR_breastcancer_barenuclei
70,0,RandomForest,0,0.765,0,0,False,MCAR_breastcancer_barenuclei
71,0,RandomForest,0,0.77,0,0,False,MCAR_breastcancer_barenuclei
72,0,RandomForest,0,0.9025,0,0,False,MCAR_breastcancer_barenuclei
73,0,RandomForest,0,0.8425,0,0,False,MCAR_breastcancer_barenuclei
74,0,RandomForest,0,0.47,0,0,True,MCAR_breastcancer_barenuclei
75,0,RandomForest,0,0.74,0,0,False,MCAR_breastcancer_barenuclei
76,0,RandomForest,0,0.875,0,0,False,MCAR_breastcancer_barenuclei
77,0,RandomForest,0,0.7275,0,0,False,MCAR_breastcancer_barenuclei
78,0,RandomForest,0,0.82,0,0,False,MCAR_breastcancer_barenuclei
79,0,RandomForest,0,0.795,0,0,False,MCAR_breastcancer_barenuclei
80,0,RandomForest,0,0.8125,0,0,False,MCAR_breastcancer_barenuclei
81,0,RandomForest,0,0.885,0,0,False,MCAR_breastcancer_barenuclei
221,0,RandomForest,0,0.505,0,0,True,MCAR_echomonths_epss
222,0,RandomForest,1,0.6725,0,1,False,MCAR_echomonths_epss
223,0,RandomForest,1,0.6175,0,1,False,MCAR_echomonths_epss
224,0,RandomForest,1,0.77,0,1,False,MCAR_echomonths_epss
225,0,RandomForest,1,0.6475,0,1,False,MCAR_echomonths_epss
226,0,RandomForest,1,0.56,0,0,True,MCAR_echomonths_epss
