idx,y_true,y_pred,correct,true_label,pred_label,group,dataset
37,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
38,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
39,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
40,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
41,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
42,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
43,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
44,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
45,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
46,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
47,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
48,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
49,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
50,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
51,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
52,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
53,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
54,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
55,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
56,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
57,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
58,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
59,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
60,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
61,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
62,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
63,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
64,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
65,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
66,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
67,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
68,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
69,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
70,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
71,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
72,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
73,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
74,0,1,False,MCAR,MAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
75,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
76,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
77,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
78,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
79,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
80,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
81,0,0,True,MCAR,MCAR,MCAR_breastcancer_barenuclei,breastcancer_barenuclei
182,0,1,False,MCAR,MAR,MCAR_hypothyroid_t4u,hypothyroid_t4u
183,0,1,False,MCAR,MAR,MCAR_hypothyroid_t4u,hypothyroid_t4u
184,0,1,False,MCAR,MAR,MCAR_hypothyroid_t4u,hypothyroid_t4u
185,0,1,False,MCAR,MAR,MCAR_hypothyroid_t4u,hypothyroid_t4u
186,0,1,False,MCAR,MAR,MCAR_hypothyroid_t4u,hypothyroid_t4u
187,0,1,False,MCAR,MAR,MCAR_hypothyroid_t4u,hypothyroid_t4u
188,0,1,False,MCAR,MAR,MCAR_hypothyroid_t4u,hypothyroid_t4u
189,0,1,False,MCAR,MAR,MCAR_hypothyroid_t4u,hypothyroid_t4u
190,0,1,False,MCAR,MAR,MCAR_hypothyroid_t4u,hypothyroid_t4u
