idx,y_true,y_pred,correct,true_label,pred_label,group,dataset
6,0,0,True,MCAR,MCAR,MCAR_block_seed1123435817_mr4.txt,block_seed1123435817_mr4.txt
13,0,0,True,MCAR,MCAR,MCAR_block_seed125565511_mr6.txt,block_seed125565511_mr6.txt
14,0,0,True,MCAR,MCAR,MCAR_block_seed1282972302_mr3.txt,block_seed1282972302_mr3.txt
19,0,0,True,MCAR,MCAR,MCAR_block_seed1374517740_mr10.txt,block_seed1374517740_mr10.txt
23,0,0,True,MCAR,MCAR,MCAR_block_seed1420290459_mr1.txt,block_seed1420290459_mr1.txt
32,0,0,True,MCAR,MCAR,MCAR_block_seed1641360605_mr9.txt,block_seed1641360605_mr9.txt
33,0,0,True,MCAR,MCAR,MCAR_block_seed1663578933_mr4.txt,block_seed1663578933_mr4.txt
34,0,0,True,MCAR,MCAR,MCAR_block_seed1679339875_mr9.txt,block_seed1679339875_mr9.txt
42,0,0,True,MCAR,MCAR,MCAR_block_seed1800897090_mr10.txt,block_seed1800897090_mr10.txt
43,0,0,True,MCAR,MCAR,MCAR_block_seed1816658032_mr9.txt,block_seed1816658032_mr9.txt
48,0,0,True,MCAR,MCAR,MCAR_block_seed1908203470_mr7.txt,block_seed1908203470_mr7.txt
49,0,0,True,MCAR,MCAR,MCAR_block_seed1930421798_mr5.txt,block_seed1930421798_mr5.txt
53,0,2,False,MCAR,MNAR,MCAR_block_seed2021967236_mr1.txt,block_seed2021967236_mr1.txt
58,0,0,True,MCAR,MCAR,MCAR_block_seed262883668_mr4.txt,block_seed262883668_mr4.txt
60,0,0,True,MCAR,MCAR,MCAR_block_seed34020073_mr1.txt,block_seed34020073_mr1.txt
70,0,0,True,MCAR,MCAR,MCAR_block_seed483953814_mr8.txt,block_seed483953814_mr8.txt
75,0,0,True,MCAR,MCAR,MCAR_block_seed575499252_mr9.txt,block_seed575499252_mr9.txt
82,0,0,True,MCAR,MCAR,MCAR_block_seed689263018_mr5.txt,block_seed689263018_mr5.txt
90,0,0,True,MCAR,MCAR,MCAR_block_seed864560445_mr8.txt,block_seed864560445_mr8.txt
96,0,0,True,MCAR,MCAR,MCAR_block_seed940344941_mr1.txt,block_seed940344941_mr1.txt
97,0,0,True,MCAR,MCAR,MCAR_block_seed95553734_mr4.txt,block_seed95553734_mr4.txt
98,0,0,True,MCAR,MCAR,MCAR_block_seed956105883_mr10.txt,block_seed956105883_mr10.txt
102,0,2,False,MCAR,MNAR,MCAR_fixed_seed1042367434_mr3.txt,fixed_seed1042367434_mr3.txt
109,0,2,False,MCAR,MNAR,MCAR_fixed_seed1217664861_mr8.txt,fixed_seed1217664861_mr8.txt
115,0,0,True,MCAR,MCAR,MCAR_fixed_seed1354983018_mr8.txt,fixed_seed1354983018_mr8.txt
117,0,0,True,MCAR,MCAR,MCAR_fixed_seed1384994795_mr8.txt,fixed_seed1384994795_mr8.txt
120,0,0,True,MCAR,MCAR,MCAR_fixed_seed143836015_mr3.txt,fixed_seed143836015_mr3.txt
121,0,2,False,MCAR,MNAR,MCAR_fixed_seed1446528456_mr7.txt,fixed_seed1446528456_mr7.txt
122,0,2,False,MCAR,MNAR,MCAR_fixed_seed1468746784_mr6.txt,fixed_seed1468746784_mr6.txt
126,0,2,False,MCAR,MNAR,MCAR_fixed_seed151803508_mr8.txt,fixed_seed151803508_mr8.txt
130,0,2,False,MCAR,MNAR,MCAR_fixed_seed1560292222_mr7.txt,fixed_seed1560292222_mr7.txt
131,0,1,False,MCAR,MAR,MCAR_fixed_seed1583846613_mr2.txt,fixed_seed1583846613_mr2.txt
134,0,0,True,MCAR,MCAR,MCAR_fixed_seed1651837660_mr9.txt,fixed_seed1651837660_mr9.txt
136,0,2,False,MCAR,MNAR,MCAR_fixed_seed1719828707_mr8.txt,fixed_seed1719828707_mr8.txt
143,0,0,True,MCAR,MCAR,MCAR_fixed_seed1827135087_mr7.txt,fixed_seed1827135087_mr7.txt
144,0,0,True,MCAR,MCAR,MCAR_fixed_seed1834928536_mr10.txt,fixed_seed1834928536_mr10.txt
152,0,0,True,MCAR,MCAR,MCAR_fixed_seed1986671572_mr2.txt,fixed_seed1986671572_mr2.txt
154,0,2,False,MCAR,MNAR,MCAR_fixed_seed2010225963_mr6.txt,fixed_seed2010225963_mr6.txt
157,0,2,False,MCAR,MNAR,MCAR_fixed_seed205369676_mr3.txt,fixed_seed205369676_mr3.txt
166,0,0,True,MCAR,MCAR,MCAR_fixed_seed402885431_mr10.txt,fixed_seed402885431_mr10.txt
167,0,0,True,MCAR,MCAR,MCAR_fixed_seed410678880_mr6.txt,fixed_seed410678880_mr6.txt
