missing_total,missing_X0,mi_mask,corr_mask,delta_mean,dixon_extreme_score,reg_auc,reg_coef_norm,little_pvalue,little_score,jj_pvalue,jj_score,llm_mcar_score,llm_missing_depends_on_value,llm_missing_depends_on_trend,llm_missing_depends_on_extremes,llm_missing_after_change,llm_seasonality_in_missing
0.022600000000000002,0.113,0.2732394472540154,8.792536927049905e-18,5.551115123125783e-17,0.0,0.5825842304277119,0.28061329995951106,0.9591119881766195,0.018130680621186616,0.7977921568697681,0.09811023757358948,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.08,0.17437251845337798,-4.22584456577828e-18,-1.1102230246251565e-16,0.0,0.5502173913043479,0.15371533656925193,0.9811786872506394,0.008251893924649385,0.8628092104062354,0.06408522749247116,0.0,0.0,0.0,0.0,0.0,0.0
0.0216,0.108,0.264152304378339,1.1804443693532087e-17,0.0,0.0,0.5473550905165254,0.16027429869500115,0.9823334678608742,0.007741059394442443,0.867084492480652,0.06193858092031809,0.0,0.0,0.0,0.0,0.0,0.0
0.0152,0.076,0.17556493405844378,-6.194519564902379e-17,-1.1102230246251565e-16,0.0,0.6002648667122351,0.3424201214833095,0.9633469142794486,0.016217289380019328,0.8085500438220177,0.09229309501156283,0.0,0.0,0.0,0.0,0.0,0.0
0.0112,0.056,0.13417772432663183,-1.425534508429963e-17,0.0,0.0,0.5719771489104116,0.2516154502889117,0.9785363531099488,0.009423035451271822,0.8534952325347355,0.06879890043048918,0.0,0.0,0.0,0.0,0.0,0.0
0.0016,0.008,0.018717487045246006,1.5071615118701333e-17,1.1102230246251565e-16,0.0,0.6691028225806451,0.5152460207635162,0.9785784656205992,0.009404345458408483,0.8536390271301781,0.06872573781996527,0.0,0.0,0.0,0.0,0.0,0.0
0.0216,0.108,0.2448520918885047,1.8903480041467843e-17,-2.220446049250313e-16,0.0,0.5507598405580468,0.1621709825299884,0.9796620187435366,0.008923729115395702,0.8573887057191354,0.06682224169798143,0.0,0.0,0.0,0.0,0.0,0.0
0.0154,0.077,0.1791470950585099,8.135712759946384e-18,1.1102230246251565e-16,0.0,0.5674747787423843,0.23662173065718198,0.9699306347864154,0.013259323472592281,0.826594794733305,0.08270733390275035,0.0,0.0,0.0,0.0,0.0,0.0
0.007000000000000001,0.035,0.08368502786443287,7.003156105256835e-18,1.1102230246251565e-16,0.0,0.6159881569207994,0.37942243533334025,0.9686856209695247,0.013817146820353869,0.8230413069937641,0.08457836776552506,0.0,0.0,0.0,0.0,0.0,0.0
0.0082,0.041,0.09619936030425502,-1.1788067800535503e-17,0.0,0.0,0.6381138889595361,0.49402503443847434,0.9520168441400151,0.02135536752692774,0.7809494216853448,0.10737709236374365,0.0,0.0,0.0,0.0,0.0,0.0
0.0034000000000000002,0.017,0.03945060680775353,-1.3444983746329056e-17,5.551115123125783e-17,0.0,0.5996648913889056,0.28940391080999756,0.982990791559995,0.007450550523319851,0.8695806439212147,0.060690135816615455,0.0,0.0,0.0,0.0,0.0,0.0
0.0216,0.108,0.2572688026633503,-1.820052613028296e-17,1.1102230246251565e-16,0.0,0.5319714333167247,0.11457917811394921,0.9830203742179104,0.007437480826344266,0.8696941068788924,0.06063347273165195,0.0,0.0,0.0,0.0,0.0,0.0
0.0032,0.016,0.03594753768305414,-7.16066653288679e-18,-5.551115123125783e-17,0.0,0.592479674796748,0.3565248624299229,0.9786770251474428,0.0093606068061117,0.8539761154723065,0.06855427575553463,0.0,0.0,0.0,0.0,0.0,0.0
0.0052,0.026,0.06324446753260725,-1.9458796828283757e-18,0.0,0.0,0.6653372295056074,0.557484987041777,0.9634851384806065,0.016154979841577388,0.8089113778389893,0.09209905592017723,0.0,0.0,0.0,0.0,0.0,0.0
0.0208,0.104,0.22409302796220942,5.875017549107943e-17,0.0,0.0,0.5444818853021978,0.1706341798967124,0.9767396008282185,0.010221203934212596,0.8474863967648084,0.07186726404805831,0.0,0.0,0.0,0.0,0.0,0.0
0.004399999999999999,0.022,0.048758090922641384,-7.752679266883617e-18,1.1102230246251565e-16,0.0,0.6974344673731177,0.6654019118151272,0.9625533807741885,0.016575176278866045,0.8064887103401677,0.09340170771864677,0.0,0.0,0.0,0.0,0.0,0.0
0.017599999999999998,0.088,0.2035693043694387,2.3739297602387608e-17,1.1102230246251565e-16,0.0,0.5416791267942583,0.14002229707272174,0.9819699539284409,0.007901800443917521,0.8657239929415567,0.06262054614479914,0.0,0.0,0.0,0.0,0.0,0.0
0.0124,0.062,0.1471824568180638,5.446551318989624e-17,0.0,0.0,0.6285335992846827,0.39160133630355964,0.9550398697294639,0.019978497691572922,0.787961960321889,0.10349474801940507,0.0,0.0,0.0,0.0,0.0,0.0
0.020399999999999998,0.102,0.2320686629426601,7.10852250923215e-18,2.220446049250313e-16,0.0,0.5799598235730817,0.29168718857154363,0.9667876092205712,0.01466892433970427,0.8177573299706438,0.08737555438544972,0.0,0.0,0.0,0.0,0.0,0.0
0.014000000000000002,0.07,0.15388131562331123,1.8576043865388806e-17,1.1102230246251565e-16,0.0,0.581705069124424,0.2778500019223295,0.9679974234865528,0.014125798649314835,0.8211073603709556,0.0856000548557653,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.015,0.03561160063049709,-1.0842077575975104e-17,-1.1102230246251565e-16,0.0,0.7245346869712352,0.8100271852181887,0.9576531294703882,0.018791767785700117,0.7942164473782904,0.1000611234019888,0.0,0.0,0.0,0.0,0.0,0.0
0.018,0.09,0.19371827409141673,4.250829574048183e-17,5.551115123125783e-17,0.0,0.6158119658119658,0.38541242238002366,0.9554904382647115,0.01977365463686058,0.7890271066338412,0.1029080765633518,0.0,0.0,0.0,0.0,0.0,0.0
0.0086,0.043,0.10326410496796565,1.6447675049226848e-18,1.1102230246251565e-16,0.0,0.5589414595028067,0.18802110809749592,0.9860463250621093,0.006102681157931166,0.8818743256616469,0.0545933009912015,0.0,0.0,0.0,0.0,0.0,0.0
0.014000000000000002,0.07,0.15590874059175844,3.406739430944506e-17,-2.220446049250313e-16,0.0,0.6016589861751152,0.3317855326802927,0.956783981676957,0.019186104182943132,0.7921153725667938,0.10121155828428356,0.0,0.0,0.0,0.0,0.0,0.0
0.0108,0.054,0.1293769460503893,2.2526349955484903e-17,-1.1102230246251565e-16,0.0,0.5766189022002974,0.26831181636023793,0.9767935503644272,0.010197216641375205,0.8476633673879692,0.07177658490335707,0.0,0.0,0.0,0.0,0.0,0.0
0.0072,0.036,0.08135797176204207,-6.37716173612258e-18,1.1102230246251565e-16,0.0,0.594225449515906,0.31475510484844865,0.9703983245783426,0.0130499619632155,0.8279486256327564,0.08199661043300689,0.0,0.0,0.0,0.0,0.0,0.0
0.014599999999999998,0.073,0.1747277022368196,2.1943606396066665e-17,0.0,0.0,0.5644958697226286,0.21788532995806953,0.980809562743073,0.00841530850031088,0.8614704462689386,0.06475961693037773,0.0,0.0,0.0,0.0,0.0,0.0
0.0064,0.032,0.07530106674303376,1.7456832304307227e-17,0.0,0.0,0.6157993285123967,0.38041138140073283,0.9713251914068796,0.012635347651391939,0.830663622947931,0.08057480807202463,0.0,0.0,0.0,0.0,0.0,0.0
0.0054,0.027,0.06313562612784633,1.8196637524741156e-17,5.551115123125783e-17,0.0,0.6271934833085913,0.4376438482564122,0.9720343707310877,0.012318378329959316,0.832770728432752,0.07947454851138819,0.0,0.0,0.0,0.0,0.0,0.0
0.0056,0.028,0.06416868140741984,3.2257674545640067e-17,1.6653345369377348e-16,0.0,0.6630658436213992,0.5562197575912027,0.9613574674520848,0.017115095915992525,0.8034229602727847,0.09505576113149618,0.0,0.0,0.0,0.0,0.0,0.0
