index,label_original,label_name,quality_score,is_issue,suggested_label,suggested_name,prob_MCAR,prob_MAR,prob_MNAR,group,rank
189,0,MCAR,3.2829774555446477e-07,True,1,MAR,3.2829774555446477e-07,0.9995646163135962,0.00043505538865830324,MCAR_hypothyroid_t4u,1
214,0,MCAR,6.338195818930737e-07,True,1,MAR,6.338195818930737e-07,0.9996029892006671,0.000396376979751031,MCAR_hypothyroid_t4u,2
215,0,MCAR,6.52356462552657e-07,True,1,MAR,6.52356462552657e-07,0.9995738571332518,0.0004254905102855828,MCAR_hypothyroid_t4u,3
224,0,MCAR,7.801144782489595e-07,True,1,MAR,7.801144782489595e-07,0.9998708233526808,0.00012839653284072323,MCAR_hypothyroid_t4u,4
203,0,MCAR,1.1972488255233053e-06,True,1,MAR,1.1972488255233053e-06,0.9993740536274162,0.000624749123758288,MCAR_hypothyroid_t4u,5
211,0,MCAR,1.340170668420405e-06,True,1,MAR,1.340170668420405e-06,0.9995778453212607,0.00042081450807101656,MCAR_hypothyroid_t4u,6
198,0,MCAR,1.4318579974255627e-06,True,1,MAR,1.4318579974255627e-06,0.9996583979627032,0.0003401701792994517,MCAR_hypothyroid_t4u,7
588,1,MAR,1.4790163142785648e-06,True,0,MCAR,0.9999818190781559,1.4790163142785648e-06,1.670190552990716e-05,MAR_sick_t3,8
221,0,MCAR,2.025010227530305e-06,True,1,MAR,2.025010227530305e-06,0.9975248476475038,0.002473127342268578,MCAR_hypothyroid_t4u,9
230,0,MCAR,2.0293978838856425e-06,True,1,MAR,2.0293978838856425e-06,0.9995990456144299,0.0003989249876862962,MCAR_hypothyroid_t4u,10
208,0,MCAR,2.1456446440218263e-06,True,1,MAR,2.1456446440218263e-06,0.9999699442764823,2.7910078873830317e-05,MCAR_hypothyroid_t4u,11
192,0,MCAR,3.23315190698283e-06,True,1,MAR,3.23315190698283e-06,0.9980688743582186,0.001927892489874503,MCAR_hypothyroid_t4u,12
213,0,MCAR,4.682687824357653e-06,True,1,MAR,4.682687824357653e-06,0.9934966413475759,0.006498675964599865,MCAR_hypothyroid_t4u,13
218,0,MCAR,4.885936976016814e-06,True,1,MAR,4.885936976016814e-06,0.9968367914677595,0.0031583225952643732,MCAR_hypothyroid_t4u,14
227,0,MCAR,5.0569576883862765e-06,True,1,MAR,5.0569576883862765e-06,0.9994123760430182,0.0005825669992933905,MCAR_hypothyroid_t4u,15
186,0,MCAR,5.566923596213871e-06,True,1,MAR,5.566923596213871e-06,0.9967795182320888,0.0032149148443149805,MCAR_hypothyroid_t4u,16
231,0,MCAR,5.6582325355395365e-06,True,1,MAR,5.6582325355395365e-06,0.9980307156150325,0.0019636261524321047,MCAR_hypothyroid_t4u,17
187,0,MCAR,6.566173339802654e-06,True,1,MAR,6.566173339802654e-06,0.9951128035864272,0.004880630240233038,MCAR_hypothyroid_t4u,18
212,0,MCAR,6.634952771143371e-06,True,1,MAR,6.634952771143371e-06,0.9854399704974912,0.014553394549737472,MCAR_hypothyroid_t4u,19
188,0,MCAR,7.391224393024076e-06,True,1,MAR,7.391224393024076e-06,0.9999432623296292,4.934644597782377e-05,MCAR_hypothyroid_t4u,20
185,0,MCAR,7.99578740720952e-06,True,1,MAR,7.99578740720952e-06,0.9961660699915152,0.003825934221077613,MCAR_hypothyroid_t4u,21
112,0,MCAR,1.2748796550531972e-05,True,2,MNAR,1.2748796550531972e-05,0.0006735947191546809,0.9993136564842949,MCAR_cylinderbands_bladepressure,22
201,0,MCAR,1.4514794948002306e-05,True,1,MAR,1.4514794948002306e-05,0.9998356150351895,0.00014987016986240653,MCAR_hypothyroid_t4u,23
194,0,MCAR,1.5701350617319447e-05,True,1,MAR,1.5701350617319447e-05,0.9995460776890274,0.00043822096035542096,MCAR_hypothyroid_t4u,24
200,0,MCAR,1.6457929563776154e-05,True,1,MAR,1.6457929563776154e-05,0.9984016250380845,0.0015819170323516523,MCAR_hypothyroid_t4u,25
207,0,MCAR,1.8028502714185317e-05,True,1,MAR,1.8028502714185317e-05,0.999915322043521,6.664945376470793e-05,MCAR_hypothyroid_t4u,26
619,1,MAR,1.8423964457473655e-05,True,0,MCAR,0.999912001259336,1.8423964457473655e-05,6.957477620669731e-05,MAR_sick_t3,27
622,1,MAR,1.888144617607437e-05,True,0,MCAR,0.9999591997023959,1.888144617607437e-05,2.1918851428007575e-05,MAR_sick_t3,28
209,0,MCAR,2.022777612744848e-05,True,1,MAR,2.022777612744848e-05,0.9992968704263855,0.0006829017974868687,MCAR_hypothyroid_t4u,29
891,2,MNAR,2.1720369497973324e-05,True,0,MCAR,0.9997093973659743,0.0002688822645277864,2.1720369497973324e-05,MNAR_cylinderbands_varnishpct,30
615,1,MAR,2.3809440368224672e-05,True,0,MCAR,0.9999423554690453,2.3809440368224672e-05,3.3835090586441794e-05,MAR_sick_t3,31
190,0,MCAR,2.4132975718179953e-05,True,1,MAR,2.4132975718179953e-05,0.9997496619234824,0.00022620510079941942,MCAR_hypothyroid_t4u,32
210,0,MCAR,2.6596292950539712e-05,True,1,MAR,2.6596292950539712e-05,0.9875345726303865,0.012438831076663156,MCAR_hypothyroid_t4u,33
195,0,MCAR,2.6631729880576865e-05,True,1,MAR,2.6631729880576865e-05,0.9992102516302873,0.0007631166398320445,MCAR_hypothyroid_t4u,34
197,0,MCAR,2.9031185522933533e-05,True,1,MAR,2.9031185522933533e-05,0.9995511404230009,0.0004198283914760251,MCAR_hypothyroid_t4u,35
220,0,MCAR,3.118295397607653e-05,True,1,MAR,3.118295397607653e-05,0.9998758089577399,9.300808828424102e-05,MCAR_hypothyroid_t4u,36
1046,2,MNAR,3.786806621472717e-05,True,1,MAR,1.6960222924731535e-07,0.9999619623315561,3.786806621472717e-05,MNAR_mroz_wages,37
183,0,MCAR,4.055496479155792e-05,True,1,MAR,4.055496479155792e-05,0.9997787062545274,0.00018073878068094635,MCAR_hypothyroid_t4u,38
222,0,MCAR,4.3732015084510925e-05,True,1,MAR,4.3732015084510925e-05,0.999797405934584,0.000158862050331305,MCAR_hypothyroid_t4u,39
671,1,MAR,4.6048422760647294e-05,True,2,MNAR,0.0023127241372861433,4.6048422760647294e-05,0.9976412274399532,MAR_sick_tsh,40
196,0,MCAR,4.621034822942241e-05,True,1,MAR,4.621034822942241e-05,0.9963489089823168,0.0036048806694540087,MCAR_hypothyroid_t4u,41
216,0,MCAR,4.8145922384275446e-05,True,1,MAR,4.8145922384275446e-05,0.997827658017653,0.0021241960599626608,MCAR_hypothyroid_t4u,42
217,0,MCAR,5.2850453504460294e-05,True,1,MAR,5.2850453504460294e-05,0.9997586278935768,0.00018852165291871766,MCAR_hypothyroid_t4u,43
191,0,MCAR,5.3499082882415934e-05,True,1,MAR,5.3499082882415934e-05,0.9995135686029682,0.00043293231414920016,MCAR_hypothyroid_t4u,44
605,1,MAR,5.52600160164856e-05,True,0,MCAR,0.999612031943173,5.52600160164856e-05,0.0003327080408105584,MAR_sick_t3,45
199,0,MCAR,5.591910383992894e-05,True,1,MAR,5.591910383992894e-05,0.9982464064203732,0.0016976744757868103,MCAR_hypothyroid_t4u,46
219,0,MCAR,5.641295944149172e-05,True,1,MAR,5.641295944149172e-05,0.9838810032725439,0.01606258376801449,MCAR_hypothyroid_t4u,47
916,2,MNAR,5.7110260907786594e-05,True,0,MCAR,0.9985500506866438,0.0013928390524483355,5.7110260907786594e-05,MNAR_cylinderbands_varnishpct,48
674,1,MAR,5.747817198233066e-05,True,2,MNAR,0.0014746679212011842,5.747817198233066e-05,0.9984678539068165,MAR_sick_tsh,49
206,0,MCAR,5.9253587244129406e-05,True,1,MAR,5.9253587244129406e-05,0.9999032861213574,3.7460291398423604e-05,MCAR_hypothyroid_t4u,50
931,2,MNAR,6.560235250392614e-05,True,0,MCAR,0.9888255881325927,0.011108809514903402,6.560235250392614e-05,MNAR_cylinderbands_varnishpct,51
612,1,MAR,6.656777800415168e-05,True,0,MCAR,0.9999294396737252,6.656777800415168e-05,3.992548270759852e-06,MAR_sick_t3,52
627,1,MAR,6.996153015369539e-05,True,0,MCAR,0.9998773622807056,6.996153015369539e-05,5.267618914058378e-05,MAR_sick_t3,53
193,0,MCAR,7.31086467065166e-05,True,1,MAR,7.31086467065166e-05,0.9349634213816994,0.06496346997159394,MCAR_hypothyroid_t4u,54
204,0,MCAR,7.545833201580765e-05,True,1,MAR,7.545833201580765e-05,0.8429078299860897,0.15701671168189446,MCAR_hypothyroid_t4u,55
607,1,MAR,7.827302387389757e-05,True,0,MCAR,0.9997219720167532,7.827302387389757e-05,0.00019975495937286878,MAR_sick_t3,56
225,0,MCAR,8.217455938643881e-05,True,1,MAR,8.217455938643881e-05,0.9996453875868634,0.00027243785375016615,MCAR_hypothyroid_t4u,57
102,0,MCAR,8.507079901114259e-05,True,1,MAR,8.507079901114259e-05,0.9026219153624377,0.09729301383855124,MCAR_cylinderbands_bladepressure,58
164,0,MCAR,8.87034946121279e-05,True,2,MNAR,8.87034946121279e-05,0.08812228263362008,0.9117890138717677,MCAR_cylinderbands_esavoltage,59
1078,2,MNAR,8.876200594139813e-05,True,1,MAR,4.049434046075382e-06,0.9999071885600126,8.876200594139813e-05,MNAR_mroz_wages,60
649,1,MAR,8.959380318268008e-05,True,2,MNAR,0.0001224339850251496,8.959380318268008e-05,0.9997879722117923,MAR_sick_tsh,61
955,2,MNAR,9.616856499111016e-05,True,0,MCAR,0.9948802861601121,0.0050235452748968075,9.616856499111016e-05,MNAR_kidney_pot,62
205,0,MCAR,9.84552345717246e-05,True,2,MNAR,9.84552345717246e-05,0.47580595085948557,0.5240955939059426,MCAR_hypothyroid_t4u,63
616,1,MAR,9.967046773715628e-05,True,0,MCAR,0.9990254556393945,9.967046773715628e-05,0.000874873892868477,MAR_sick_t3,64
22,0,MCAR,0.00010438360126705017,True,1,MAR,0.00010438360126705017,0.9997722016001916,0.00012341479854133575,MCAR_autompg_horsepower,65
202,0,MCAR,0.0001051837726078383,True,1,MAR,0.0001051837726078383,0.9998542004427297,4.0615784662580696e-05,MCAR_hypothyroid_t4u,66
31,0,MCAR,0.0001091473780011309,True,1,MAR,0.0001091473780011309,0.9997539909373845,0.0001368616846143818,MCAR_autompg_horsepower,67
651,1,MAR,0.00011420199679346165,True,2,MNAR,2.378356854742098e-05,0.00011420199679346165,0.9998620144346593,MAR_sick_tsh,68
128,0,MCAR,0.00011447870519051344,True,2,MNAR,0.00011447870519051344,0.09936078438926675,0.9005247369055427,MCAR_cylinderbands_bladepressure,69
656,1,MAR,0.00011814276227089035,True,2,MNAR,0.021130545154957346,0.00011814276227089035,0.9787513120827717,MAR_sick_tsh,70
33,0,MCAR,0.00012117804375727327,True,1,MAR,0.00012117804375727327,0.9997411214094281,0.00013770054681462465,MCAR_autompg_horsepower,71
99,0,MCAR,0.00012862305925660206,True,2,MNAR,0.00012862305925660206,0.017765615036807812,0.9821057619039356,MCAR_cylinderbands_bladepressure,72
298,1,MAR,0.00013172062946132748,True,2,MNAR,0.001629963607141688,0.00013172062946132748,0.9982383157633969,MAR_colic_resprate,73
129,0,MCAR,0.0001341536782065541,True,1,MAR,0.0001341536782065541,0.9846601248426664,0.015205721479127184,MCAR_cylinderbands_bladepressure,74
603,1,MAR,0.00013473617147882134,True,0,MCAR,0.9991598131622884,0.00013473617147882134,0.0007054506662329014,MAR_sick_t3,75
226,0,MCAR,0.00013857889607564092,True,1,MAR,0.00013857889607564092,0.9972371144793879,0.0026243066245363097,MCAR_hypothyroid_t4u,76
641,1,MAR,0.0001487565774354997,True,2,MNAR,2.009144248235762e-05,0.0001487565774354997,0.9998311519800821,MAR_sick_tsh,77
610,1,MAR,0.00014996981522906648,True,0,MCAR,0.9997214728011918,0.00014996981522906648,0.00012855738357910547,MAR_sick_t3,78
173,0,MCAR,0.00015094538395774883,True,2,MNAR,0.00015094538395774883,0.0022002787286786916,0.9976487758873636,MCAR_cylinderbands_esavoltage,79
30,0,MCAR,0.00015871990077376456,True,2,MNAR,0.00015871990077376456,0.05804915561264882,0.9417921244865775,MCAR_autompg_horsepower,80
223,0,MCAR,0.00016136769378516974,True,1,MAR,0.00016136769378516974,0.9835282460420086,0.016310386264206028,MCAR_hypothyroid_t4u,81
660,1,MAR,0.00016143769154337354,True,2,MNAR,0.014835628563129128,0.00016143769154337354,0.9850029337453275,MAR_sick_tsh,82
1074,2,MNAR,0.00016623147313027183,True,1,MAR,7.119363262862064e-06,0.9998266491636069,0.00016623147313027183,MNAR_mroz_wages,83
