X0_missing_rate,X0_obs_vs_full_ratio,X0_iqr_ratio,X0_obs_skew_diff,coef_X1_abs,auc_mask_from_Xobs,log_pval_X1_mask,X1_mean_diff,X1_mannwhitney_pval,little_proxy_score,X0_ks_obs_vs_imputed,X0_tail_missing_ratio,mask_entropy,X0_censoring_score,X0_mean_shift_X1_to_X4,mechdetect_auc_complete,mechdetect_auc_shuffled,mechdetect_auc_excluded,mechdetect_delta_complete_shuffled,mechdetect_delta_complete_excluded,mechdetect_mwu_pvalue,caafe_missing_rate_by_quantile,caafe_tail_asymmetry,caafe_kurtosis_excess,caafe_cond_entropy_X0_mask,llm_ctx_domain_prior,llm_ctx_domain_confidence,llm_ctx_stats_consistency,llm_ctx_surprise,llm_ctx_confidence_delta,llm_ctx_counter_strength,llm_ctx_cause_type,llm_ctx_n_causes,llm_ctx_stats_agreement
0.01,1.0019490577084122,1.0,-0.0130256948971261,0.3359340712928657,0.5,0.522415163922999,-0.2649883851434239,0.1503048755966339,0.7803030303030304,0.0047474747474747,1.0,0.5482606262930859,0.0034844045287223,0.2367293935384254,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.0,0.9943856361817978,0.1519016288326724,0.5,0.85,0.9,0.8,0.05,0.95,0.0,0.8,0.2
0.02,1.0039860860218264,1.1176470588235292,-0.0255657791392494,0.3406610513858721,0.9285714285714286,0.7149100424310016,-0.2523466751041502,0.1092790332578106,0.6913265306122448,0.0097959183673469,1.0,1.660631320752761,0.0099059262056857,0.240272282125837,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.0526315789473684,0.4909392813857134,0.1953571583627462,0.5,0.85,0.9,0.1,0.1,0.85,0.5,0.6,0.9
0.03,1.0068652133061389,1.0666666666666669,-0.0408401125874338,0.5146309516670776,0.86489898989899,1.0480999932589397,-0.2817336636564639,0.0261283946918748,0.6391752577319588,0.0142268041237113,1.0,1.7918301970951818,0.0030495688901229,0.2439832225881791,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.0526315789473684,0.562073771113047,0.1924881355816522,0.5,0.85,0.9,0.1,0.2,0.8,0.5,0.6,0.9
0.03,1.0071297207687924,1.0116731517509727,-0.038707989447469,0.0095756529526624,0.7818813131313131,0.3880407626234031,-0.1482014260724402,0.723401346099819,0.4716494845360824,0.0145360824742268,1.0,1.3161304106605765,0.0121942061506729,0.166489045747983,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.0,-0.1029263428550537,0.2469456467133428,1.0,0.7,0.3,0.8,0.15,0.2,0.5,0.8,0.4
0.04,1.007199034906311,1.0067567567567566,-0.0495033162025659,0.1786620473979785,0.8333333333333334,0.6937619059292802,-0.1616467484926787,0.4596864283027326,0.4791666666666667,0.01875,1.0,2.1541111392443817,0.0,0.1747156286769318,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.0666666666666666,0.7457240357070538,0.2076220868171629,0.5,0.8,0.9,0.1,0.05,0.85,0.5,0.8,0.9
0.01,1.0015452712081925,1.0,-0.0108991927659757,0.2059557272391333,0.5,0.2138695178493858,-0.1312870305118368,0.9447144885708044,0.547979797979798,0.0048484848484848,1.0,0.4073407449681775,0.0,0.1325782485773902,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.0526315789473684,0.2005599045980739,0.1561536148132684,0.0,0.9,0.9,0.1,0.0,0.1,0.0,0.8,0.9
0.01,1.0017436493555334,1.019867549668874,-0.0123085368095658,0.1030338094888718,0.5,0.0902440358387074,0.0561036723827421,0.6647961532287974,0.6111111111111112,0.0049494949494949,1.0,0.4073407449681775,0.0034838392677764,0.0732618518319027,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.25,0.2620390774882315,0.1605093280962509,0.0,0.9,1.0,0.0,0.0,0.1,0.0,0.8,1.0
0.01,1.001557287601117,1.0065359477124185,-0.0116956482483627,0.318402912999267,0.5,0.367479442049469,-0.197844073813066,0.532659447939042,0.5732323232323232,0.0049494949494949,1.0,1.031893958319993,0.008709101112705,0.1567943094075526,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.1764705882352941,1.491124599466798,0.1397213925769922,0.0,0.9,0.9,0.1,0.05,0.1,0.0,0.8,0.9
0.02,1.0034843205574917,1.0878048780487803,-0.0239813092495537,0.1543858318102286,0.6326530612244898,0.404435863343563,-0.1631862047144438,0.3304167932016412,0.5051020408163266,0.0097959183673469,1.0,1.6157218097983383,0.0099047356682523,0.1527251048006349,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.0526315789473684,0.3016179114405766,0.2063895730689533,0.5,0.8,0.9,0.1,0.05,0.9,0.5,0.8,0.9
0.02,1.0035006282686303,1.0,-0.0262466277696147,0.4789595188812847,0.7551020408163265,0.6913280004098347,-0.2299082423667141,0.0939149715187268,0.5918367346938775,0.0097959183673469,1.0,0.7906635454108182,0.0148627309733721,0.1904526596976176,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.1111111111111111,1.160153962418339,0.1701347257019611,0.5,0.9,0.9,0.1,0.15,0.85,0.5,0.8,0.9
